customernumber	date	salutation	title	domain	datecreated	newsletter	model	paymenttype	deliverytype	invoicepostcode	delivpostcode	voucher	advertisingdatacode	case	numberitems	gift	entry	points	shippingcosts	deliverydatepromised	deliverydaterea	weight	remi	cancel	used	w0	w1	w2	w3	w4	w5	w6	w7	w8	w9	w10	target90
46596	242	0	0	9	242	0	3	0	0	17	$null$	0		4	1	0	1	0	0	242	242	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
12570	137	1	0	12	137	0	1	2	0	89	$null$	0		3	1	0	0	0	1	137	137	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
20912	236	0	0	9	236	0	1	0	0	50	$null$	1	AP	1	1	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
13839	353	1	0	4	353	0	1	0	0	49	$null$	0		2	2	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
29763	111	2	0	12	111	0	3	3	0	20	$null$	0		3	1	0	1	0	0	111	111	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
62424	300	0	0	2	300	0	1	2	0	42	$null$	0		1	1	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
48937	331	1	0	8	331	0	1	0	0	50	$null$	0		4	4	0	0	0	0	331	331	955	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1
26122	211	0	0	8	211	0	1	0	0	21	$null$	0		3	2	0	0	0	0	211	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
20438	162	0	1	9	162	0	2	0	0	97	97	1		1	2	0	1	0	0	162	162	1358	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
33067	273	0	0	12	273	0	3	0	0	73	$null$	0		4	2	0	1	0	0	273	273	633	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
1210	113	0	0	1	113	0	1	1	1	22	$null$	0	CA	4	3	0	0	0	0	113	113	1154	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
31146	350	1	0	2	350	0	1	2	0	55	$null$	0		4	1	0	0	0	0	350	350	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
14133	308	2	0	12	308	0	3	1	1	23	$null$	0		5	1	0	1	0	0	308	308	401	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
13674	324	0	0	4	324	0	1	0	0	7	$null$	0	BQ	5	10	0	0	0	0	324	324	2726	0	0	1	9	1	0	0	0	0	0	0	0	0	0	1
3047	349	0	0	9	349	0	1	2	0	30	$null$	0		2	1	0	0	0	1	349	349	57	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
19213	352	1	0	1	352	0	3	0	0	65	15	0		3	1	0	1	0	1	352	352	528	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
48607	151	2	0	4	151	0	1	0	0	51	$null$	0	BQ	4	7	0	0	0	0	151	151	1744	0	1	0	0	0	0	0	0	0	0	0	0	6	0	1
31675	178	0	0	9	178	0	1	0	0	79	$null$	0		2	1	0	0	0	1	178	178	629	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
19371	238	2	0	9	238	0	1	0	0	57	$null$	0		3	1	0	0	0	0	238	238	259	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
8572	277	0	0	11	277	1	3	0	0	46	$null$	0		5	8	0	1	0	0	277	277	2334	0	0	0	5	0	3	0	0	0	0	0	0	0	0	1
60406	232	0	0	9	232	0	3	0	0	68	$null$	0		5	4	0	1	0	0	232	232	1600	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1
55165	99	0	0	12	99	0	1	1	1	27	$null$	0		2	1	0	0	0	0	99	99	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
62460	224	0	0	4	224	0	1	1	1	10	$null$	0		1	1	0	0	0	0	224	224	146	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10436	332	0	0	5	332	0	1	0	0	12	$null$	0		3	1	0	0	0	0	332	332	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3352	342	1	1	12	342	0	2	2	0	52	$null$	1		5	5	0	1	0	0	342	342	3538	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
56871	348	1	0	9	348	0	1	0	0	95	$null$	1	BD	4	2	0	0	0	0	348	348	487	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
34446	142	0	0	3	142	0	1	2	0	50	$null$	0		2	1	0	0	0	1	142	142	518	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
49159	292	0	0	0	292	0	2	2	0	52	$null$	1		2	1	0	1	0	0	292	292	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
46639	352	1	0	9	352	0	2	3	0	49	$null$	0		5	1	0	1	0	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
46867	149	2	0	9	149	1	2	0	0	66	$null$	1		1	4	0	1	0	0	149	149	1489	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0
32918	308	1	0	6	308	0	3	2	0	63	$null$	0		4	1	0	1	0	0	308	308	45	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0
4989	337	1	0	4	337	1	1	2	0	91	$null$	0	BD	1	1	0	0	0	0	337	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
32814	167	0	0	12	167	0	3	1	1	22	$null$	0		1	1	0	1	0	0	167	167	111	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
37293	325	2	0	12	325	0	3	3	0	24	$null$	0		5	2	0	1	0	0	325	325	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
41500	356	1	0	9	356	0	1	1	1	30	$null$	0		1	1	0	0	0	0	356	356	173	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
14163	263	0	0	9	263	0	1	0	0	78	$null$	0		3	1	0	0	0	0	263	263	394	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
48312	353	0	0	4	353	0	1	2	0	12	$null$	0		2	2	0	0	0	1	353	353	418	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
37052	292	1	0	9	292	1	1	0	0	74	$null$	0		5	5	0	0	0	0	292	292	1924	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1
58534	336	1	0	12	336	0	1	1	1	34	$null$	0		4	1	0	0	0	0	336	336	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
65353	253	0	0	1	253	0	3	1	1	61	$null$	0		5	6	0	1	0	0	253	253	1025	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0
16152	164	1	0	5	164	0	1	0	0	40	$null$	0		3	1	0	0	0	0	164	164	740	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
19804	301	0	0	12	301	0	1	3	0	56	$null$	0		2	1	0	0	0	1	301	301	919	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
1785	337	1	0	12	337	0	1	0	0	27	$null$	0		3	2	0	0	0	0	337	337	351	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
55851	346	1	0	4	346	0	1	0	0	34	$null$	0		1	2	0	0	0	1	346	346	497	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
14415	110	0	0	2	110	0	1	0	0	18	$null$	0		3	2	0	0	0	0	110	110	845	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
32800	360	1	0	12	360	0	1	0	0	76	$null$	0		3	2	0	0	0	0	360	360	591	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
47308	363	1	0	9	363	1	1	3	0	38	$null$	0		3	2	0	0	0	0	363	363	267	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
10161	362	0	0	8	362	0	3	1	1	26	$null$	0		4	2	0	1	0	0	362	362	900	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
324	167	0	0	9	167	0	3	0	0	32	$null$	0		2	1	0	1	0	1	167	167	324	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
26920	299	1	0	4	299	0	3	0	0	39	$null$	0		5	4	0	1	0	0	299	299	666	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1
56018	150	1	0	12	150	1	1	0	0	84	$null$	0		1	1	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
40544	237	1	0	4	237	0	1	2	0	29	$null$	0	AB	4	2	0	0	0	0	237	237	1097	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
19594	138	0	0	9	138	0	1	2	0	33	$null$	0	BC	3	3	0	0	0	0	138	138	628	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
19302	299	0	0	4	299	0	1	0	0	1	$null$	0		4	3	0	0	0	0	299	299	1331	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1
15897	222	1	0	5	222	0	1	0	0	51	$null$	0		3	1	0	0	0	0	222	222	784	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
34115	188	0	0	12	188	0	1	1	1	26	$null$	0		5	6	0	0	0	0	188	188	3173	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1
58077	364	1	0	9	364	0	1	3	0	46	$null$	0	BQ	1	1	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
21232	248	0	0	4	248	0	1	2	0	78	$null$	0		3	1	0	0	0	0	248	248	486	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
38213	336	1	0	8	336	0	1	3	0	51	$null$	0		3	1	0	0	0	0	336	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
427	103	2	0	4	103	1	1	1	1	16	$null$	0	AB	4	2	0	0	0	0	103	103	641	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
24195	211	0	0	1	211	0	3	3	0	13	$null$	0		4	1	0	1	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
47369	207	0	0	5	207	0	1	2	0	80	$null$	1		3	2	0	0	0	0	207	207	631	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
26045	114	1	0	4	114	0	1	2	0	40	$null$	0		5	6	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1
2417	212	1	0	12	212	0	1	2	0	56	$null$	0	CA	2	1	0	0	0	1	212	212	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
29994	188	0	0	5	188	0	1	0	0	24	$null$	0		5	3	0	0	0	0	188	188	1412	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
36935	324	0	0	5	324	1	3	3	0	65	$null$	0		5	16	0	1	0	0	324	324	5069	0	0	0	4	4	0	0	0	0	1	0	0	3	4	1
9803	280	0	0	9	280	0	1	0	0	10	$null$	0		3	3	0	0	0	0	280	280	1583	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1
2493	309	0	0	4	309	0	2	0	0	52	$null$	1		2	2	0	1	0	0	309	309	649	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
27136	124	0	0	2	124	0	1	0	0	52	$null$	1		4	2	0	0	0	0	124	124	1427	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
8169	217	0	0	4	217	0	1	0	0	42	$null$	0		2	1	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
27094	120	0	0	8	120	1	1	0	0	55	$null$	1	BI	3	1	0	0	0	0	120	120	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
62421	157	0	0	1	157	1	3	1	1	89	$null$	0		3	2	0	1	0	0	157	157	579	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
58255	249	1	0	9	249	0	1	0	0	95	$null$	1		1	1	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
467	97	0	0	8	97	1	2	0	0	46	$null$	0		3	1	0	1	0	0	97	97	590	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
12796	190	0	0	4	190	0	1	2	0	26	$null$	1	BQ	4	5	0	0	0	0	190	190	1485	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
15463	317	1	0	9	317	0	1	1	1	86	$null$	0	BT	3	2	0	0	0	0	317	317	405	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
58021	348	1	0	9	348	0	1	2	0	2	$null$	0		4	1	0	0	0	0	348	348	789	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
31150	337	0	0	9	337	1	3	0	0	29	$null$	0		5	4	0	1	0	0	337	337	2544	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
34829	188	0	0	6	188	1	1	0	0	56	$null$	1		3	5	0	0	0	0	188	188	1816	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0
62027	139	0	0	9	139	0	2	0	0	50	$null$	1		1	3	0	1	0	0	139	139	1316	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
48713	329	1	0	12	329	0	2	0	0	56	$null$	1		1	1	0	1	0	0	329	329	986	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
32639	282	1	0	9	282	0	3	2	0	26	$null$	0		3	1	0	1	0	1	282	282	585	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16454	294	0	0	5	294	0	1	2	0	24	$null$	0		3	1	0	0	0	0	294	294	902	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
27755	92	1	0	8	92	0	1	0	0	66	$null$	0	AB	3	2	0	0	0	0	92	92	812	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
48192	148	1	0	2	148	0	1	3	0	63	$null$	1	BD	4	3	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
13092	218	2	0	4	218	1	1	2	0	95	$null$	0		4	4	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
59291	262	0	0	2	262	1	3	1	1	14	$null$	0		1	1	0	1	0	0	262	262	741	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
33905	168	1	0	4	168	1	1	2	0	88	70	0		3	1	0	0	0	0	168	168	645	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
17569	227	0	0	12	227	1	2	0	0	45	$null$	0		4	2	0	1	0	0	227	227	581	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
33265	312	1	0	8	312	0	1	3	0	14	$null$	0	AE	2	1	0	0	0	1	312	312	251	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
56054	197	1	0	8	197	0	3	0	0	30	$null$	0		5	13	0	1	0	0	197	197	4120	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0
29062	100	1	0	9	100	0	3	1	1	30	$null$	0		1	1	0	1	0	0	100	100	150	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
52860	251	1	0	8	251	0	1	1	1	38	$null$	0		1	1	0	0	0	0	251	251	437	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
32316	317	1	0	1	317	1	1	1	1	41	$null$	0		1	1	0	0	0	0	317	317	540	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
45737	351	0	0	12	351	1	3	1	1	23	$null$	0		2	4	0	1	0	0	351	351	316	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
44035	268	2	0	12	268	0	1	0	0	33	$null$	0	CA	4	1	0	0	0	0	268	268	665	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
17700	325	1	0	12	325	0	1	3	0	81	$null$	0		2	3	0	0	0	0	325	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1
54967	338	0	0	4	338	0	2	1	1	40	$null$	0		1	1	0	1	0	0	338	338	140	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
34467	221	1	0	8	221	0	1	2	0	78	$null$	0		1	1	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
26430	133	0	0	4	133	0	1	3	0	53	$null$	0		2	2	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
21795	188	1	0	5	188	0	1	3	0	49	$null$	0		4	2	0	0	0	0	188	188	927	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
46913	179	0	0	9	179	0	1	3	0	65	$null$	0		2	2	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
63327	106	0	0	4	106	0	1	0	0	81	$null$	0		2	1	0	0	0	1	106	106	592	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
49992	352	1	0	4	352	0	1	0	0	33	$null$	0		4	1	0	0	0	0	352	352	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
48366	322	1	0	9	322	0	1	0	0	41	$null$	0		2	1	0	1	0	1	322	322	217	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
22320	124	1	0	4	124	0	1	2	0	78	$null$	0		2	1	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
23708	204	0	0	4	204	0	3	2	0	90	$null$	0		4	8	0	1	0	0	204	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1
1042	350	0	0	8	350	1	3	1	1	91	$null$	0		3	2	0	1	0	0	350	350	762	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
25732	91	0	0	12	91	0	1	3	0	60	$null$	0		5	2	0	0	0	0	91	91	1477	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
35301	358	0	0	8	358	1	2	0	0	41	$null$	1		4	1	0	1	0	0	358	358	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6892	153	1	0	12	153	0	1	3	0	24	$null$	0		2	1	0	0	0	1	153	153	636	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
48307	231	0	0	5	231	0	1	1	1	25	$null$	0		1	1	0	0	0	0	231	231	308	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
11867	271	0	0	9	271	0	1	2	0	12	$null$	0	BQ	3	2	0	0	0	0	271	271	529	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2327	218	0	0	5	218	0	1	0	0	51	$null$	0		3	2	0	0	0	0	218	218	924	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
36907	128	0	0	8	128	0	1	0	0	90	$null$	1	BT	4	2	0	0	0	0	128	128	1156	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
45551	356	0	0	6	356	0	1	1	1	13	$null$	0		4	2	0	0	0	0	356	356	1262	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
60637	284	0	0	9	284	0	2	2	0	3	$null$	1		1	3	0	1	0	0	284	284	1244	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
8597	138	0	0	4	138	0	2	2	0	53	$null$	1	AQ	1	5	0	1	0	0	138	138	1385	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0
37872	249	0	0	12	249	0	1	0	0	88	$null$	0		3	2	0	0	0	1	249	249	894	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
40669	274	1	0	0	274	1	2	1	1	52	$null$	0	BD	1	1	0	1	0	0	274	274	148	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
57904	348	1	0	12	348	1	1	2	0	21	$null$	0		4	1	0	0	0	1	348	348	641	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
35897	313	0	0	2	313	1	3	0	0	30	$null$	0		5	9	0	1	0	0	313	313	4887	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0
8797	308	2	0	8	308	0	3	0	0	22	$null$	0		3	3	0	1	0	0	308	308	979	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
51436	326	1	0	6	326	0	1	0	0	2	$null$	0		4	1	0	0	0	0	326	326	973	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
17229	352	2	0	12	352	0	3	1	1	91	$null$	0		2	2	0	1	0	0	352	352	470	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
49188	345	0	0	4	345	0	3	1	1	73	$null$	0		1	1	0	1	0	0	345	345	224	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
10076	141	1	0	12	141	0	1	0	0	64	$null$	0		1	1	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
52146	317	0	0	12	317	0	1	3	0	54	$null$	0		1	1	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
23831	128	0	0	11	128	0	1	2	0	71	$null$	0		1	1	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
19111	96	1	0	4	96	1	3	2	0	28	$null$	0		2	1	0	1	0	0	96	96	369	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
23121	115	2	0	4	115	1	1	1	1	22	$null$	0		5	1	0	0	0	0	115	115	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
8004	283	2	0	4	283	0	1	0	0	15	$null$	0		5	2	0	0	0	0	283	283	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
19765	189	0	0	4	189	0	1	0	0	36	$null$	0		5	2	0	0	0	0	189	189	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
24415	216	0	0	11	216	0	1	0	0	50	50	0		3	2	0	0	0	0	216	216	828	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1
33084	124	1	0	12	124	0	2	1	1	50	$null$	0		3	1	0	1	0	0	124	124	749	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
939	218	0	0	8	218	0	1	0	0	67	$null$	0		4	3	0	0	0	0	218	218	1879	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
30006	99	1	0	12	99	0	1	1	1	12	$null$	0	BQ	3	1	0	0	0	0	99	99	528	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
63725	239	0	0	4	239	1	2	0	0	10	$null$	1		1	4	0	1	0	0	239	239	737	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0
63910	142	2	0	1	142	1	1	3	0	60	$null$	0	BT	1	1	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
59694	266	1	0	12	266	0	3	1	1	25	$null$	0		1	1	0	1	0	0	266	266	347	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
32926	93	0	0	9	93	1	3	1	1	67	$null$	0		2	2	0	1	0	0	93	93	465	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
7056	280	0	0	12	280	1	1	2	0	15	$null$	0		4	3	0	0	0	0	280	280	1182	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
30845	348	0	0	4	348	0	2	1	1	44	$null$	0		2	1	0	1	0	0	348	348	399	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
30355	165	2	0	9	165	1	1	0	0	51	$null$	0	BQ	1	1	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
33575	183	1	0	12	183	0	2	3	0	44	$null$	1		1	3	0	1	0	0	183	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
58533	350	1	0	4	350	1	2	0	0	46	$null$	0		4	2	0	1	0	0	350	350	853	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
53387	329	1	0	9	329	0	1	0	0	95	$null$	0		2	1	0	0	0	1	329	329	409	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
8835	252	0	0	11	252	0	1	2	0	10	$null$	0	AB	3	2	0	0	0	0	252	252	1471	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0
28559	357	1	0	9	357	0	1	1	1	67	$null$	0		4	2	0	0	0	0	357	357	1479	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
11142	116	0	0	11	116	1	1	0	0	88	$null$	0	BQ	3	2	0	0	0	0	116	116	771	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
